domain	end	gene	start
PF00668	1457	ppsE	1024
PF00698	868	ppsE	551
PF02801	390	ppsE	270
PF16197	507	ppsE	392
PF00005	169	drrA	25
PF16911	408	papA5	300
PF00107	1703	mas	1570
PF00109	255	mas	5
PF00550	2096	mas	2029
PF00698	852	mas	534
PF02801	377	mas	263
PF08240	1524	mas	1446
PF08659	1943	mas	1765
PF14765	1182	mas	896
PF16197	501	mas	384
PF00501	468	fadD28	10
PF03176	391	mmpL7	74
PF03176_1	915	mmpL7	501
PF00665	228	Rv2943	113
PF01695	120	Rv2943A	18
PF01695	227	Rv2944	65
PF07161	232	lppX	47
PF00550	1585	pks1	1519
PF00698	397	pks1	84
PF08240	991	pks1	929
PF08659	1408	pks1	1228
PF13602	1215	pks1	1081
PF14765	720	pks1	445
PF00109	294	pks15	46
PF02801	420	pks15	302
PF16197	486	pks15	422
PF00501	394	fadD22	10
PF00550	615	fadD22	548
PF13193	480	fadD22	402
PF01947	179	Rv2949c	22
PF00501	506	fadD29	47
PF00296	348	Rv2951c	22
PF08241	179	Rv2952	85
PF03435	137	Rv2953	10
PF13649	135	Rv2954c	43
PF05050	291	Rv2955c	133
PF02405	258	yrbE3A	47
PF02405	259	yrbE3B	49
PF02470	122	mce3A	40
PF11887	417	mce3A	150
PF02470	114	mce3B	37
PF02470	114	mce3C	38
PF11887	309	mce3C	139
PF02470	109	mce3D	33
PF02470	112	lprM	37
PF02470	117	mce3F	41
PF05305	109	Rv1974	36
PF00188	156	Rv1975	37
PF05991	135	Rv1976c	3
PF01435	264	Rv1977	67
PF13649	176	Rv1978	82
PF13520	461	Rv1979c	14
PF11738	221	mpt64	145
PF00268	283	nrdF1	11
PF01850	127	vapC36	1
PF07704	84	vapB36	1
PF00934	94	PE_PGRS35	4
PF01083	213	cfp21	34
PF00126	66	Rv1985c	9
PF03466	290	Rv1985c	90
PF01810	199	Rv1986	13
PF00553	141	Rv1987	40
PF00398	176	erm(37)	6
PF02452	112	mazF6	4
PF01402	40	mazE6	3
PF00122	440	ctpG	261
PF00702	663	ctpG	456
PF07371	88	Rv1993c	1
PF01022	65	cmtR	20
PF01814	201	Rv1995	66
PF01814_1	244	Rv1995	138
PF00582	159	Rv1996	8
PF00582_1	308	Rv1996	169
PF00122	311	ctpF	118
PF00689	897	ctpF	725
PF00690	79	ctpF	11
PF00702	655	ctpF	327
PF13714	230	Rv1998c	3
PF13520	415	Rv1999c	18
PF13450	134	Rv2000	79
PF01643	243	Rv2001	18
PF13561	239	fabG3	14
PF08241	187	Rv2003c	102
PF13671	471	Rv2004c	324
PF00582	293	Rv2005c	159
PF00582_1	148	Rv2005c	8
PF02358	512	otsB1	285
PF03632	1259	otsB1	847
PF03633	1315	otsB1	1263
PF03636	793	otsB1	538
PF00037	56	fdxA	33
PF13173	189	Rv2008c	70
PF13635	382	Rv2008c	227
PF09957	54	vapB15	7
PF01850	122	vapC15	1
PF12802	86	Rv2011c	30
PF07166	151	Rv2012	35
PF01548	95	Rv2013	1
PF02371	142	Rv2014	56
PF01844	353	Rv2015c	309
PF02720	306	Rv2015c	21
PF01381	62	Rv2017	8
PF06114	265	Rv2017	153
PF04255	235	Rv2018	183
PF18478	96	Rv2019	13
PF18135	78	Rv2020c	36
PF01381	89	Rv2021c	35
PF05973	182	Rv2022c	86
PF04851	364	Rv2024c	165
PF13156	157	Rv2024c	33
PF01545	237	Rv2025c	44
PF16916	318	Rv2025c	240
PF00582	292	Rv2026c	159
PF00582_1	148	Rv2026c	9
PF01590	198	dosT	61
PF01590_1	366	dosT	222
PF02518	573	dosT	487
PF07730	448	dosT	383
PF00582	141	Rv2028c	8
PF00294	308	pfkB	17
PF00156	211	Rv2030c	15
PF05139	656	Rv2030c	294
PF00011	141	hspX	44
PF11296	275	Rv2033c	4
PF01022	61	Rv2034	16
PF08327	156	Rv2035	16
PF11716	62	Rv2036	16
PF01734	210	Rv2037c	11
PF17912	282	Rv2038c	237
PF00005	164	Rv2038c	21
PF00528	275	Rv2039c	89
PF00528	292	Rv2040c	84
PF01547	351	Rv2041c	44
PF02136	130	Rv2042c	8
PF00857	186	pncA	2
PF10861	101	Rv2044c	1
PF00135	504	lipT	13
PF00391	832	Rv2047c	760
PF01370	112	Rv2047c	3
PF00109	2304	pks12	2056
PF00109_1	281	pks12	34
PF00550	2034	pks12	1968
PF00550_1	4066	pks12	3999
PF00698	881	pks12	559
PF00698_1	2895	pks12	2582
PF02801	408	pks12	289
PF02801_1	2431	pks12	2312
PF08240	1448	pks12	1385
PF08659	1859	pks12	1680
PF08659_1	3889	pks12	3710
PF13602	3701	pks12	3567
PF13602_1	1671	pks12	1537
PF14765	1196	pks12	926
PF14765_1	3216	pks12	2940
PF16197	524	pks12	410
PF16197_1	2547	pks12	2433
PF13397	106	Rv2050	4
PF00535	781	ppm1	613
PF00795	500	ppm1	242
PF07969	533	Rv2052c	49
PF04186	112	fxsA	3
PF01738	229	Rv2054	13
PF01084	73	rpsR2	22
PF00253	100	rpsN2	47
PF00471	54	rpmG1	8
PF00830	62	rpmB2	3
PF01297	353	Rv2059	108
PF00950	130	Rv2060	1
PF01243	89	Rv2061c	1
PF02514	1177	cobN	102
PF02452	111	mazF7	5
PF03460	80	cobG	15
PF02570	206	cobH	10
PF00590	223	cobI	6
PF00590_1	458	cobI	248
PF08242	155	Rv2067c	60
PF13354	277	blaC	66
PF04542	96	sigC	29
PF08281	174	sigC	121
PF02571	239	cobK	3
PF00590	210	cobM	2
PF00590	186	cobL	1
PF00106	200	Rv2073c	7
PF01243	95	Rv2074	10
PF10817	104	Rv2078	1
PF06259	522	Rv2079	345
PF18645	714	Rv2082	619
PF18646	593	Rv2082	510
PF13276	117	Rv2086	51
PF14032	586	pknJ	394
PF00069	276	pknJ	14
PF00557	356	pepE	153
PF01321	146	pepE	14
PF01367	291	Rv2090	191
PF02739	185	Rv2090	4
PF14230	236	Rv2091c	154
PF00270	172	helY	19
PF00271	416	helY	318
PF08148	903	helY	727
PF00902	254	tatC	29
PF02416	56	tatA	4
PF13280	307	pafC	137
PF19187	120	pafC	6
PF13280	328	pafB	153
PF03136	423	pafA	4
PF02720	335	Rv2100	64
PF00176	821	helZ	468
PF00271	950	helZ	834
PF12419	487	helZ	351
PF04434	167	Rv2102	125
PF01850	135	vapC37	2
PF01527	90	Rv2105	4
PF00665	206	Rv2106	102
PF13276	79	Rv2106	20
PF00934	94	PE22	4
PF00823	162	PPE36	6
PF00227	206	prcA	24
PF00227	244	prcB	54
PF05639	64	pup	1
PF03136	459	dop	3
PF00004	439	mpa	289
PF16450	234	mpa	161
PF17758	160	mpa	100
PF04456	90	Rv2117	3
PF08704	243	Rv2118c	62
PF14801	54	Rv2118c	4
PF12705	260	Rv2119	13
PF05433	124	Rv2120c	85
PF01634	205	hisG	49
PF08029	280	hisG	209
PF01503	93	hisE	7
PF00823	165	PPE37	8
PF18878	469	PPE37	423
PF00809	583	metH	347
PF02310	850	metH	730
PF02574	312	metH	22
PF02607	717	metH	644
PF02965	1192	metH	972
PF09754	240	Rv2125	21
PF00324	464	ansP1	25
PF00106	199	Rv2129c	7
PF01406	340	mshC	29
PF00459	263	cysQ	13
PF01402	40	Rv2132	2
PF11290	175	Rv2134c	6
PF00300	199	Rv2135c	3
PF02673	269	Rv2136c	12
PF01180	336	pyrD	48
PF01161	173	TB18.6	26
PF01546	447	dapE2	85
PF07687	346	dapE2	206
PF05016	92	parE2	5
PF00156	332	Rv2143	137
PF05103	63	wag31	3
PF02325	91	Rv2146c	9
PF04472	201	Rv2147c	130
PF01168	254	Rv2148c	18
PF02578	248	yfiH	25
PF00091	171	ftsZ	10
PF12327	313	ftsZ	219
PF03799	310	ftsQ	195
PF08478	192	ftsQ	124
PF01225	116	murC	12
PF02875	423	murC	329
PF08245	309	murC	120
PF03033	186	murG	38
PF04101	393	murG	231
PF01098	414	ftsW	57
PF02875	399	murD	321
PF08245	301	murD	128
PF00953	277	murX	84
PF10555	58	murX	46
PF01225	118	murF	32
PF02875	434	murF	341
PF08245	321	murF	134
PF01225	139	murE	61
PF02875	459	murE	374
PF08245	355	murE	151
PF02627	126	Rv2159c	46
PF00440	60	Rv2160A	14
PF00296	281	Rv2161c	17
PF00934	94	PE_PGRS38	4
PF00905	656	pbpB	338
PF03717	297	pbpB	130
PF01795	380	Rv2165c	62
PF02381	142	Rv2166c	72
PF02381_1	71	Rv2166c	1
PF00665	206	Rv2167c	102
PF13276	79	Rv2167c	20
PF01527	90	Rv2168c	4
PF11239	87	Rv2169c	1
PF08445	190	Rv2170	104
PF00348	306	idsA2	30
PF18367	145	Rv2175c	78
PF00069	274	pknL	19
PF02371	143	Rv2177c	56
PF01474	457	aroG	25
PF16473	157	Rv2179c	1
PF09594	324	Rv2181	80
PF01553	152	Rv2182c	20
PF02374	282	Rv2184c	1
PF17886	370	Rv2184c	308
PF03364	139	TB16.3	11
PF00501	468	fadD15	22
PF00534	360	pimB	184
PF13439	177	pimB	15
PF00877	381	Rv2190c	285
PF00929	207	Rv2191	44
PF01541	325	Rv2191	249
PF00591	357	trpD	99
PF02885	90	trpD	28
PF00510	203	ctaE	6
PF00034	139	qcrC	62
PF13442	235	qcrC	161
PF00355	400	qcrA	303
PF13631	294	qcrB	119
PF10812	206	Rv2197c	1
PF05423	299	mmpS3	193
PF12270	138	Rv2199c	1
PF00116	313	ctaC	214
PF00733	632	asnB	261
PF13537	182	asnB	58
PF00294	299	adoK	6
PF01521	115	Rv2204c	13
PF02595	373	Rv2205c	175
PF02595_1	178	Rv2205c	26
PF11241	233	Rv2206	48
PF02277	343	cobT	7
PF02654	241	cobS	8
PF01063	324	ilvE	75
PF01571	260	gcvT	12
PF08669	362	gcvT	284
PF00211	361	Rv2212	201
PF16701	190	Rv2212	7
PF00883	505	pepB	192
PF02789	157	pepB	29
PF00106	518	ephD	325
PF00561	287	ephD	30
PF00198	547	dlaT	314
PF00364	76	dlaT	4
PF00364_1	195	dlaT	122
PF02817	277	dlaT	242
PF01370	222	Rv2216	6
PF08338	294	Rv2216	249
PF03099	166	lipB	58
PF04055	236	lipA	78
PF16881	60	lipA	8
PF13829	243	Rv2219	22
PF06271	134	Rv2219A	24
PF00120	475	glnA1	105
PF03951	98	glnA1	17
PF03710	829	glnE	588
PF03710_1	317	glnE	88
PF08335	483	glnE	336
PF08335_1	992	glnE	849
PF00120	443	glnA2	106
PF03951	100	glnA2	16
PF00561	406	Rv2223c	105
PF08386	518	Rv2223c	414
PF00561	497	caeA	102
PF02548	277	panB	20
PF01928	200	Rv2226	11
PF05235	463	Rv2226	238
PF09859	232	Rv2227	61
PF00300	360	Rv2228c	167
PF13456	129	Rv2228c	6
PF02591	237	Rv2229c	203
PF01784	357	Rv2230c	7
PF00155	347	cobC	38
PF13419	258	ptkA	82
PF01451	150	ptpA	7
PF02104	226	Rv2235	21
PF03186	293	cobD	13
PF09995	223	Rv2237	1
PF00578	130	ahpE	4
PF11253	152	Rv2239c	29
PF00456	339	aceE	108
PF17831	733	aceE	506
PF13556	405	Rv2242	347
PF17853	300	Rv2242	179
PF00698	295	fabD	4
PF00550	77	acpM	10
PF00109	254	kasA	12
PF02801	374	kasA	262
PF00109	254	kasB	11
PF02801	375	kasB	262
PF01039	470	accD6	21
PF01266	390	glpD1	28
PF16901	515	glpD1	411
PF00440	61	Rv2250c	15
PF01565	188	Rv2251	48
PF02913	473	Rv2251	223
PF00781	136	Rv2252	13
PF01810	149	Rv2254c	12
PF11343	174	Rv2256c	21
PF00144	268	Rv2257c	10
PF08241	273	Rv2258c	176
PF00107	324	mscR	190
PF08240	148	mscR	29
PF00753	193	Rv2260	20
PF00795	102	Rv2261c	2
PF00795	336	Rv2262c	222
PF00106	222	Rv2263	15
PF00012	368	Rv2264c	147
PF07690	277	Rv2265	28
PF00067	398	cyp124	300
PF00067_1	298	cyp124	64
PF13469	328	Rv2267c	81
PF00067	467	cyp128	351
PF10905	91	Rv2271	39
PF02656	84	Rv2272	17
PF02656	73	Rv2273	10
PF16715	283	Rv2275	64
PF00067	366	cyp121	196
PF03009	295	Rv2277c	36
PF01527	90	Rv2278	4
PF00665	206	Rv2279	102
PF13276	79	Rv2279	20
PF01565	178	Rv2280	40
PF02913	455	Rv2280	214
PF01384	541	pitB	84
PF00126	69	Rv2282c	10
PF03466	311	Rv2282c	93
PF07859	394	lipM	183
PF03007	256	Rv2285	4
PF06974	440	Rv2285	294
PF01323	162	Rv2286c	3
PF00999	417	yjcE	17
PF02611	258	cdh	41
PF05481	170	lppO	40
PF00581	132	sseB	10
PF00581_1	274	sseB	161
PF01048	69	Rv2292c	2
PF01048	189	Rv2293c	38
PF00155	399	Rv2294	29
PF03691	186	Rv2295	12
PF00561	285	Rv2296	47
PF00248	301	Rv2298	14
PF00183	647	htpG	223
PF02518	185	htpG	28
PF00753	298	Rv2300c	66
PF01083	229	cut2	44
PF08940	58	Rv2302	1
PF04909	305	Rv2303c	11
PF09335	53	Rv2306B	1
PF12146	207	Rv2307c	77
PF04255	227	Rv2308	173
PF00589	113	Rv2309c	2
PF01523	321	Rv2314c	23
PF01523	345	Rv2315c	34
PF00528	286	uspA	83
PF00528	270	uspB	84
PF01547	352	uspC	46
PF00582	141	Rv2319c	1
PF00582_1	291	Rv2319c	152
PF13520	465	rocE	35
PF00202	176	rocD2	1
PF00202	221	rocD1	18
PF02274	301	Rv2323c	71
PF01037	141	Rv2324	70
PF13404	45	Rv2324	4
PF02361	251	Rv2325c	27
PF00005	635	Rv2326c	497
PF00005_1	402	Rv2326c	268
PF01047	101	Rv2327	43
PF00934	94	PE23	4
PF07690	434	narK1	55
PF14041	163	lppP	78
PF00390	255	mez	73
PF03949	522	mez	265
PF07690	404	stp	12
PF00291	294	cysK1	7
PF00132	152	cysE	117
PF00132_1	108	cysE	71
PF00899	291	moeW	25
PF03176	387	mmpL9	58
PF03176_1	947	mmpL9	606
PF00934	94	PE_PGRS39	4
PF01751	346	dnaG	263
PF01807	103	dnaG	5
PF08275	255	dnaG	127
PF08278	614	dnaG	487
PF10410	430	dnaG	376
PF01966	222	dgt	72
PF13286	421	dgt	329
PF04536	155	Rv2345	36
PF06013	87	esxO	2
PF06013	90	esxP	4
PF04185	433	plcC	52
PF04185	435	plcB	52
PF04185	431	plcA	51
PF00823	164	PPE38	7
PF12484	388	PPE38	299
PF01469	45	PPE39	6
PF01469_1	172	PPE39	133
PF01469_2	240	PPE39	203
PF01469_3	132	PPE39	93
PF01469_4	64	PPE39	26
PF01469_5	90	PPE39	51
PF01469_6	212	PPE39	173
PF01527	90	Rv2354	4
PF00665	206	Rv2355	102
PF13276	79	Rv2355	20
PF00823	166	PPE40	6
PF01469	280	PPE40	241
PF01469_1	397	PPE40	358
PF01469_2	467	PPE40	428
PF01469_3	320	PPE40	281
PF01469_4	505	PPE40	468
PF01469_5	240	PPE40	205
PF00587	415	glyS	153
PF03129	459	glyS	369
PF01022	102	smtB	57
PF01475	122	zur	3
PF01255	294	uppS	74
PF02565	238	recO	84
PF11967	79	recO	1
PF01425	461	amiA2	39
PF01926	126	era	8
PF07650	289	era	210
PF00571	324	Rv2366c	269
PF00571_1	256	Rv2366c	200
PF01595	185	Rv2366c	8
PF03471	420	Rv2366c	339
PF02130	148	Rv2367c	9
PF02562	329	phoH1	125
PF13556	398	Rv2370c	342
PF17853	295	Rv2370c	180
PF00934	61	PE_PGRS40	4
PF04452	242	Rv2372c	18
PF00226	65	dnaJ2	4
PF00684	209	dnaJ2	145
PF01556	336	dnaJ2	119
PF01628	326	hrcA	105
PF03621	54	mbtH	2
PF13434	329	mbtG	81
PF00501	862	mbtF	477
PF00550	1031	mbtF	969
PF00668	458	mbtF	15
PF00668_1	1349	mbtF	1060
PF13193	943	mbtF	870
PF00501	828	mbtE	445
PF00550	1007	mbtE	943
PF00550_1	1643	mbtE	1580
PF00668	1472	mbtE	1025
PF00668_1	426	mbtE	1
PF13193	917	mbtE	836
PF00550	986	mbtD	919
PF00698	421	mbtD	98
PF08659	841	mbtD	668
PF00109	254	mbtC	4
PF02801	379	mbtC	262
PF00501	951	mbtB	558
PF00550	1131	mbtB	1064
PF00550_1	74	mbtB	9
PF00668	519	mbtB	97
PF00975	1413	mbtB	1189
PF13193	1031	mbtB	959
PF00501	459	mbtA	46
PF13193	542	mbtA	467
PF07859	278	mbtJ	76
PF00425	438	mbtI	183
PF05982	403	Rv2387	16
PF04055	184	hemN	9
PF06737	121	rpfD	48
PF01077	316	sirA	161
PF01077_1	555	sirA	409
PF03460	153	sirA	86
PF03460_1	401	sirA	335
PF01507	229	cysH	58
PF01903	151	che1	53
PF01903_1	269	che1	172
PF01019	636	ggtB	94
PF03169	605	Rv2395	10
PF00934	94	PE_PGRS41	4
PF12857	326	cysA1	268
PF00005	163	cysA1	20
PF00528	267	cysW	69
PF00528	278	cysT	86
PF13531	303	subI	58
PF00723	622	Rv2402	290
PF14032	246	lppR	39
PF00009	229	lepA	50
PF00679	536	lepA	447
PF06421	643	lepA	537
PF02452	184	Rv2405	83
PF00571	126	Rv2406c	71
PF00571_1	61	Rv2406c	3
PF12706	234	Rv2407	30
PF00934	89	PE24	11
PF01841	232	Rv2409c	124
PF08379	82	Rv2409c	4
PF04168	301	Rv2410c	1
PF04174	431	Rv2411c	100
PF01649	84	rpsT	2
PF06144	169	Rv2413c	2
PF03772	486	Rv2414c	221
PF00633	264	Rv2415c	235
PF10531	194	Rv2415c	139
PF13527	134	eis	5
PF13530	397	eis	301
PF17668	298	eis	188
PF02645	274	Rv2417c	2
PF00300	215	gpgP	6
PF02410	108	Rv2420c	12
PF01467	166	nadD	1
PF13649	245	Rv2423	150
PF02371	255	Rv2424c	168
PF05762	473	Rv2425c	252
PF07728	194	Rv2426c	45
PF00171	306	proA	5
PF00171_1	405	proA	314
PF00578	147	ahpC	6
PF02627	175	ahpD	95
PF00823	161	PPE41	5
PF00934	94	PE25	4
PF00027	439	Rv2434c	352
PF00924	311	Rv2434c	115
PF00211	727	Rv2435c	548
PF00672	514	Rv2435c	462
PF00294	289	rbsK	13
PF04191	121	Rv2437	18
PF00795	283	nadE	13
PF02540	554	nadE	343
PF00696	241	proB	13
PF01472	355	proB	281
PF01018	158	obg	5
PF01926	293	obg	161
PF09269	434	obg	366
PF01016	80	rpmA	2
PF00829	102	rplU	3
PF00375	418	dctA	26
PF10150	737	rne	455
PF00334	136	ndkA	3
PF14017	119	Rv2446c	17
PF02875	418	folC	335
PF08245	309	folC	140
PF00133	443	valS	24
PF00133_1	580	valS	440
PF08264	764	valS	621
PF10458	886	valS	821
PF03435	137	Rv2449c	10
PF06737	168	rpfE	95
PF12804	175	mobA	13
PF02775	235	Rv2454c	87
PF01558	227	Rv2455c	35
PF01855	494	Rv2455c	267
PF17147	625	Rv2455c	526
PF02687	848	Rv0987	753
PF02687_1	388	Rv0987	288
PF12704	236	Rv0987	27
PF00441	458	fadE15	287
PF02770	274	fadE15	161
PF12418	34	fadE15	3
PF12806	605	fadE15	473
PF00934	94	PE_PGRS29	4
PF00122	325	ctpD	144
PF00702	555	ctpD	341
PF00085	104	trxA	2
PF00085	102	trxB1	2
PF00378	284	echA12	26
PF12848	325	Rv1473	238
PF00005	481	Rv1473	351
PF00005_1	197	Rv1473	20
PF00440	62	Rv1474c	16
PF00330	606	acn	56
PF00694	866	acn	734
PF00877	471	ripA	355
PF00877	240	Rv1478	124
PF07726	203	moxR1	73
PF17863	345	moxR1	274
PF01882	141	Rv1480	56
PF13519	212	Rv1481	99
PF13561	244	fabG1	21
PF13561	265	inhA	14
PF00762	298	hemZ	3
PF01957	142	Rv1487	53
PF01145	210	Rv1488	27
PF13564	110	Rv1489	9
PF09335	201	Rv1491c	84
PF01642	528	mutA	48
PF01642	576	mutB	51
PF02310	735	mutB	617
PF02452	100	mazF4	5
PF03308	299	Rv1496	26
PF00144	393	lipL	32
PF08241	181	Rv1498c	66
PF07311	68	Rv1498A	5
PF00535	200	Rv1500	4
PF05721	210	Rv1501	19
PF01041	175	Rv1503c	3
PF01041	199	Rv1504c	11
PF00132	195	Rv1505c	160
PF00132_1	141	Rv1505c	106
PF00132_2	159	Rv1505c	124
PF13649	108	Rv1506c	12
PF08889	225	Rv1507c	8
PF09594	440	Rv1508c	199
PF16363	81	Rv1508A	29
PF13489	215	Rv1509	37
PF16363	315	gmdA	5
PF01370	247	epiA	16
PF05050	216	Rv1513	45
PF00535	158	Rv1514c	8
PF13847	197	Rv1515c	67
PF00535	213	Rv1516c	10
PF11139	252	Rv1517	5
PF00535	191	Rv1518	20
PF01041	81	Rv1519	23
PF00535	206	Rv1520	2
PF00501	472	fadD25	12
PF03176	384	mmpL12	55
PF03176_1	1020	mmpL12	651
PF08241	260	Rv1523	165
PF03033	107	Rv1524	3
PF03033	94	Rv1526c	3
PF00107	1700	pks5	1570
PF00109	263	pks5	14
PF00550	2094	pks5	2029
PF00698	863	pks5	546
PF02801	385	pks5	271
PF08240	1526	pks5	1446
PF08659	1943	pks5	1765
PF14765	1192	pks5	905
PF16197	513	pks5	389
PF00501	473	fadD24	10
PF00107	326	adh	192
PF08240	150	adh	30
PF02627	123	Rv1531	40
PF03061	135	Rv1532c	56
PF03060	361	Rv1533	3
PF00440	70	Rv1534	24
PF00133	657	ileS	22
PF08264	844	ileS	701
PF00817	157	dinX	9
PF11798	200	dinX	169
PF11799	351	dinX	237
PF00710	185	ansA	3
PF17763	312	ansA	199
PF01252	178	lspA	39
PF00849	243	Rv1540	89
PF07007	110	lprI	35
PF09864	191	lprI	125
PF01152	128	glbN	14
PF00106	250	Rv1543	54
PF00106	202	Rv1544	10
PF10604	143	Rv1546	1
PF02811	198	dnaE1	12
PF07733	590	dnaE1	319
PF14579	924	dnaE1	835
PF17657	762	dnaE1	593
PF00823	162	PPE21	5
PF01469	259	PPE21	220
PF01469_1	554	PPE21	515
PF01469_2	299	PPE21	260
PF01469_3	490	PPE21	452
PF01469_4	374	PPE21	335
PF01469_5	416	PPE21	377
PF01469_6	524	PPE21	489
PF01469_7	339	PPE21	300
PF00501	175	fadD11.1	46
PF00501	423	fadD11	80
PF01553	242	plsB1	103
PF00890	394	frdA	6
PF02910	581	frdA	455
PF00037	165	frdB	143
PF13085	111	frdB	6
PF02300	125	frdC	1
PF02313	123	frdD	10
PF00440	71	Rv1556	25
PF16859	192	Rv1556	82
PF03176	366	mmpL6	28
PF04075	143	Rv1558	14
PF00291	323	ilvA	29
PF00585	428	ilvA	336
PF09957	51	vapB11	7
PF01850	125	vapC11	2
PF00128	218	treZ	112
PF11941	574	treZ	491
PF00128	256	treY	28
PF00128	554	treX	299
PF00128_1	314	treX	196
PF02922	112	treX	26
PF01757	378	Rv1565c	32
PF19040	720	Rv1565c	485
PF00877	168	Rv1566c	55
PF00202	430	bioA	27
PF00155	377	bioF1	40
PF13500	201	bioD	2
PF13563	156	Rv1571	9
PF05065	469	Rv1576c	190
PF04586	159	Rv1577c	1
PF05119	145	Rv1578c	48
PF08706	186	Rv1582c	41
PF10888	131	Rv1583c	35
PF00239	156	Rv1586c	9
PF07508	272	Rv1586c	175
PF02720	145	Rv1587c	1
PF02720	210	Rv1588c	36
PF04055	241	bioB	80
PF06968	340	bioB	250
PF10821	170	Rv1591	4
PF03583	407	Rv1592c	128
PF00293	140	Rv1593c	17
PF02445	341	nadA	36
PF00890	381	nadB	11
PF02910	523	nadB	424
PF01729	284	nadC	117
PF02749	115	nadC	24
PF08241	141	Rv1597	53
PF04075	123	Rv1598c	20
PF00815	445	hisD	30
PF00155	361	hisC1	32
PF00475	190	hisB	40
PF00117	203	hisH	7
PF00977	234	hisA	4
PF00459	266	impA	5
PF00977	251	hisF	16
PF01502	106	hisI	33
PF01699	359	chaA	215
PF01699_1	184	chaA	27
PF00578	130	bcpB	3
PF00425	492	trpE	232
PF04715	177	trpE	33
PF09534	224	Rv1610	22
PF00218	258	trpC	7
PF00291	403	trpB	75
PF00290	266	trpA	16
PF01790	274	lgt	13
PF05154	127	Rv1615	71
PF10825	89	Rv1616	41
PF00224	341	pykA	2
PF02887	465	pykA	353
PF02551	285	tesB1	153
PF02551_1	120	tesB1	22
PF09924	460	Rv1619	158
PF00005	507	cydC	359
PF00664	271	cydD	2
PF00005	477	cydD	332
PF02322	326	cydB	3
PF01654	460	cydA	6
PF03729	100	Rv1624c	29
PF03729_1	194	Rv1624c	142
PF03729_2	156	Rv1624c	86
PF00211	423	cya	242
PF00072	126	Rv1626	16
PF03861	196	Rv1626	143
PF00108	227	Rv1627c	9
PF01796	127	Rv1628c	57
PF12172	56	Rv1628c	17
PF00476	901	polA	525
PF01367	280	polA	185
PF02739	184	polA	16
PF00575	277	rpsA	205
PF00575_1	363	rpsA	290
PF00575_2	105	rpsA	32
PF00575_3	188	rpsA	119
PF01121	181	coaE	2
PF04229	395	coaE	210
PF04167	95	Rv1632c	28
PF00271	568	uvrB	452
PF02151	709	uvrB	674
PF04851	162	uvrB	34
PF12344	616	uvrB	574
PF17757	271	uvrB	182
PF07690	423	Rv1634	25
PF13231	270	Rv1635c	113
PF00582	144	TB15.3	3
PF00753	243	Rv1637c	71
PF17755	405	uvrA	295
PF17760	239	uvrA	131
PF00005	874	uvrA	637
PF00756	463	Rv1639c	194
PF00152	1170	lysX	820
PF01336	804	lysX	726
PF09924	607	lysX	308
PF16995	290	lysX	76
PF00707	168	infC	83
PF05198	76	infC	7
PF01632	62	rpmI	2
PF00453	109	rplT	3
PF00588	251	tsnR	108
PF08032	97	tsnR	28
PF09995	254	Rv1645c	19
PF00934	94	PE17	4
PF00211	279	Rv1647	122
PF01409	337	pheS	94
PF02912	90	pheS	22
PF01588	153	pheT	50
PF03147	830	pheT	737
PF03483	395	pheT	222
PF17759	722	pheT	487
PF03484	484	pheT	419
PF00934	94	PE_PGRS30	4
PF01118	149	argC	11
PF02774	323	argC	167
PF01960	404	argJ	23
PF00696	270	argB	29
PF00202	393	argD	18
PF00185	303	argF	147
PF02729	141	argF	3
PF01316	86	argR	16
PF02863	168	argR	101
PF00764	393	argG	6
PF00206	306	argH	11
PF14698	437	argH	369
PF00195	200	pks10	2
PF02797	352	pks10	212
PF00109	284	pks7	34
PF00550	2047	pks7	1980
PF00698	886	pks7	563
PF02801	409	pks7	292
PF08240	1455	pks7	1394
PF08659	1873	pks7	1694
PF13602	1679	pks7	1543
PF14765	1205	pks7	934
PF16197	528	pks7	411
PF08990	31	pks7	3
PF00107	1594	pks8	1491
PF00109	281	pks8	33
PF00698	874	pks8	561
PF02801	405	pks8	289
PF08240	1437	pks8	1373
PF14765	1192	pks8	921
PF16197	526	pks8	407
PF08990	30	pks8	4
PF00550	410	pks17	340
PF08659	240	pks17	64
PF00109	222	pks9	33
PF00109_1	40	pks9	4
PF00550	938	pks9	868
PF00698	797	pks9	504
PF02801	347	pks9	230
PF16197	469	pks9	349
PF00195	201	pks11	2
PF02797	352	pks11	212
PF00067	422	cyp139	4
PF00005	67	Rv1667c	10
PF12848	274	Rv1668c	194
PF00005	151	Rv1668c	20
PF00005_1	363	Rv1668c	305
PF04248	92	Rv1670	2
PF07690	361	Rv1672c	24
PF01841	244	Rv1673c	133
PF00581	211	Rv1674c	119
PF01022	67	Rv1674c	21
PF00027	146	cmr	59
PF13545	242	cmr	178
PF00578	206	Rv1676	51
PF00578	163	dsbF	44
PF00441	367	fadE16	215
PF02770	202	fadE16	110
PF02771	91	fadE16	5
PF12974	258	Rv1680	16
PF04055	229	moeX	84
PF13353	182	moeX	73
PF00501	870	Rv1683	454
PF00561	345	Rv1683	56
PF03966	44	Rv1684	3
PF00440	70	Rv1685c	24
PF17920	197	Rv1685c	90
PF01061	189	Rv1686c	1
PF00005	171	Rv1687c	33
PF02245	185	mpg	4
PF00579	326	tyrS	28
